"service_class","carrier","average_transit_minutes","leg_count"
"Overnight","Arrow Parcel","493.1528384279476","245"
"Overnight","Cedar Freight","500.327731092437","254"
"Overnight","Quartz Express","506.36238532110093","236"
"Overnight","Polar Transit","511.1446808510638","252"
"Overnight","Harbor Air","523.7","267"
"Overnight","Maple Logistics","528.0936329588015","291"
"Overnight","","565.3076923076923","13"
"Express","Cedar Freight","767.4244306418219","530"
"Express","Polar Transit","775.7338877338877","512"
"","Arrow Parcel","779","12"
"Express","","780","28"
"Express","Quartz Express","785.6751592356688","501"
"Express","Maple Logistics","787.1259842519685","539"
"Express","Harbor Air","793.0564853556485","512"
"Express","Arrow Parcel","804.2780082987551","516"
"","Quartz Express","953.8","25"
"","Polar Transit","1175","14"
"","Maple Logistics","1358.75","13"
"Standard","Maple Logistics","1381.0072551390567","885"
"Standard","Arrow Parcel","1393.3952618453866","869"
"Standard","Harbor Air","1394.9152970922883","849"
"Standard","","1400.4375","34"
"Standard","Quartz Express","1410.885101010101","852"
"Standard","Cedar Freight","1411.9739336492892","902"
"","Harbor Air","1432.25","17"
"Standard","Polar Transit","1433.394829612221","913"
"","Cedar Freight","2054.4","11"
"Freight","Cedar Freight","2473.6190476190477","320"
"Freight","Harbor Air","2482.972049689441","344"
"Freight","Maple Logistics","2500.743859649123","308"
"Freight","Arrow Parcel","2533.8079470198677","321"
"Freight","Polar Transit","2567.4384057971015","303"
"Freight","Quartz Express","2636.4007352941176","297"
"Freight","","2854.6428571428573","15"
